Column,Row,X coordinate,Y coordinate
1,1,2492,25
1,2,2220,25
1,3,1946,23
1,4,1673,23
1,5,1398,19
1,6,1124,15
1,7,851,15
1,8,581,12
1,9,309,12
1,10,38,14
2,1,2492,296
2,2,2217,299
2,3,1944,296
2,4,1673,293
2,5,1400,294
2,6,1126,291
2,7,852,286
2,8,577,286
2,9,305,288
2,10,32,287
3,1,2492,572
3,2,2218,572
3,3,1944,569
3,4,1671,567
3,5,1399,566
3,6,1122,562
3,7,852,563
3,8,576,562
3,9,303,560
3,10,30,561
4,1,2489,844
4,2,2216,844
4,3,1945,840
4,4,1671,839
4,5,1396,837
4,6,1122,834
4,7,848,834
4,8,574,834
4,9,301,834
4,10,29,834
5,1,2489,1119
5,2,2215,1116
5,3,1941,1117
5,4,1672,1114
5,5,1394,1114
5,6,1121,1112
5,7,847,1112
5,8,574,1108
5,9,298,1107
5,10,28,1108
6,1,2486,1392
6,2,2215,1389
6,3,1942,1388
6,4,1669,1389
6,5,1394,1389
6,6,1121,1390
6,7,847,1385
6,8,572,1383
6,9,299,1381
6,10,26,1383
7,1,2485,1663
7,2,2212,1662
7,3,1939,1663
7,4,1666,1662
7,5,1395,1662
7,6,1120,1663
7,7,846,1660
7,8,572,1659
7,9,300,1657
7,10,25,1657
8,1,2485,1936
8,2,2212,1935
8,3,1939,1936
8,4,1664,1936
8,5,1393,1935
8,6,1118,1935
8,7,854,1938
8,8,570,1933
8,9,299,1934
8,10,23,1932
9,1,2486,2210
9,2,2212,2212
9,3,1936,2213
9,4,1665,2209
9,5,1391,2211
9,6,1120,2209
9,7,868,2223
9,8,570,2204
9,9,297,2205
9,10,25,2203
10,1,2487,2489
10,2,2212,2486
10,3,1938,2487
10,4,1661,2485
10,5,1393,2484
10,6,1117,2484
10,7,844,2481
10,8,572,2478
10,9,298,2478
10,10,24,2479
